e c b e d b a b d b e c a d e b d e e c b 
c c e d d c c b a d c a c d a e b c a d c 
a a e d b c b a b d c a d d c b d e b a d 
e d d b e b d c d d b d b d c a e d c c c 
a d d d c c d b e a a d a a a d c b c a e 
d d a a e b c c a e e c c d d b b e d c e 
a b e a c b a b b a b a c b a a d a d b a 
a c d c d c b b a a e c e e c b c e e a e 
a c b e c c e c a e b a c c d d a c d c a 
b e a d b b b e e d d d d c e d e a a a e 
a e c a d c b c a d a c e c e c a b c a d 
e a e e b c a b e b b a e a a c a e d c a 
e d b a c d e d b b a a a b d d a a a a e 
c e a e a c c e b a a d d a b a b d d e e 
b d a a a d c b d d d d e c e b b c e b d 
c e e d d c e a d e c b b a a e d b b a b 
e b a c a a a c e a c a c a d a d e a d e 
e e a e e e d a e d d b b c c d a c d a e 
c e a c e e c c e d e b a b a e d b e c a 
e d c a a b e a e b e e b e b d e b a b e 
e d c c c d a b b c e b a e a c e d e c b 
